# Wang et al. 2024 (ApJ 971:119, doi:10.3847/1538-4357/ad5294)
# Table 3 - Stellar Mass Function, redshift bin 0.0 <= z < 0.2
# Source: SV3-r19.5 subsample (DESI LS DR9 + SV3 + Y1)
# Columns:
#   log_Mstar    : log10(M*) in units of h^-2 M_sun (bin center)
#   log_Phi      : log10(Phi(M*)) in units of h^3 Mpc^-3 / dlog M*
#   err_lower    : lower (downward) uncertainty on log_Phi
#   err_upper    : upper (upward) uncertainty on log_Phi
log_Mstar,log_Phi,err_lower,err_upper
6.45,-0.5806,0.4174,0.2088
6.55,-0.314,0.3421,0.1889
6.65,-0.5941,0.3756,0.1983
6.75,-0.558,0.3123,0.1798
6.85,-0.8368,0.2065,0.1394
6.95,-0.8681,0.2465,0.1563
7.05,-0.986,0.1861,0.1298
7.15,-1.1888,0.1864,0.13
7.25,-1.358,0.1868,0.1302
7.35,-1.2177,0.1659,0.1197
7.45,-1.1906,0.1003,0.0814
7.55,-1.2387,0.1021,0.0826
7.65,-1.2919,0.068,0.0588
7.75,-1.1429,0.0629,0.0549
7.85,-1.0476,0.0602,0.0529
7.95,-1.1211,0.0511,0.0457
8.05,-1.1136,0.0416,0.0379
8.15,-1.1513,0.0362,0.0334
8.25,-1.2495,0.0393,0.036
8.35,-1.329,0.0362,0.0334
8.45,-1.3157,0.033,0.0307
8.55,-1.4163,0.0314,0.0293
8.65,-1.4494,0.0281,0.0264
8.75,-1.4216,0.0255,0.0241
8.85,-1.4911,0.0204,0.0195
8.95,-1.5238,0.0175,0.0168
9.05,-1.5626,0.0199,0.019
9.15,-1.5694,0.0163,0.0157
9.25,-1.614,0.015,0.0145
9.35,-1.617,0.0133,0.0129
9.45,-1.6761,0.0122,0.0119
9.55,-1.6597,0.0109,0.0106
9.65,-1.6916,0.0093,0.0091
9.75,-1.7008,0.009,0.0088
9.85,-1.7598,0.0082,0.0081
9.95,-1.7736,0.0094,0.0092
10.05,-1.795,0.0061,0.006
10.15,-1.8548,0.0076,0.0075
10.25,-1.9053,0.0084,0.0082
10.35,-1.9751,0.01,0.0098
10.45,-2.0641,0.0102,0.01
10.55,-2.1691,0.0118,0.0115
10.65,-2.2714,0.0125,0.0122
10.75,-2.4683,0.0172,0.0166
10.85,-2.6473,0.0221,0.021
10.95,-2.8964,0.0263,0.0248
11.05,-3.2529,0.0427,0.0388
11.15,-3.5683,0.0579,0.051
11.25,-4.0808,0.1091,0.0871
11.35,-4.4571,0.218,0.1444
11.45,-5.3309,0.6926,0.343
