Galaxy,Type,Excluded_from_regression,log_Mbh_Msun,log_Mbh_err,log_Mgal_Msun,log_Mgal_err
Circinus,S,Yes,6.25,0.11,9.97,0.22
IC 1459,E,No,9.38,0.20,11.69,0.17
IC 2560,S,No,6.52,0.11,10.69,0.18
IC 4296,E,No,9.10,0.09,11.74,0.14
NGC 0224,S,No,8.15,0.16,11.01,0.13
NGC 0253,S,No,7.00,0.30,10.71,0.13
NGC 0404,ES/S0,Yes,5.74,0.1,9.19,0.16
NGC 0524,ES/S0,No,9.00,0.10,11.38,0.13
NGC 0821,E,No,7.59,0.17,10.90,0.14
NGC 1023,ES/S0,No,7.62,0.05,10.89,0.14
NGC 1097,S,No,8.38,0.04,11.42,0.13
NGC 1194,ES/S0,Yes,7.82,0.04,11.01,0.14
NGC 1275,E,No,8.88,0.21,11.60,0.17
NGC 1300,S,No,7.86,0.14,10.55,0.14
NGC 1316,ES/S0,Yes,8.16,0.29,11.69,0.31
NGC 1320,S,No,6.77,0.22,10.70,0.14
NGC 1332,ES/S0,No,9.15,0.07,11.17,0.14
NGC 1374,ES/S0,No,8.76,0.05,10.59,0.13
NGC 1398,S,No,8.03,0.11,11.44,0.20
NGC 1399,E,No,8.67,0.06,11.46,0.16
NGC 1407,E,No,9.65,0.08,11.66,0.16
NGC 1600,E,No,10.25,0.04,12.06,0.13
NGC 2273,S,No,6.95,0.06,10.83,0.17
NGC 2549,ES/S0,No,7.15,0.60,10.21,0.17
NGC 2778,ES/S0,No,7.18,0.35,10.15,0.17
NGC 2787,ES/S0,No,7.59,0.09,10.10,0.19
NGC 2960,S,Yes,7.07,0.05,10.86,0.14
NGC 2974,S,No,8.23,0.07,10.98,0.16
NGC 3031,S,No,7.83,0.09,10.83,0.13
NGC 3079,S,No,6.38,0.12,10.64,0.20
NGC 3091,E,No,9.62,0.08,11.86,0.20
NGC 3115,ES/S0,No,8.94,0.25,10.95,0.13
NGC 3227,S,No,7.97,0.14,11.07,0.16
NGC 3245,ES/S0,No,8.30,0.12,10.70,0.15
NGC 3368,S,No,6.89,0.11,10.83,0.17
NGC 3377,E,No,7.89,0.03,10.36,0.13
NGC 3379,E,No,8.62,0.13,10.97,0.20
NGC 3384,ES/S0,No,7.23,0.05,10.67,0.14
NGC 3414,E,No,8.38,0.09,10.98,0.18
NGC 3489,ES/S0,No,6.76,0.07,10.30,0.14
NGC 3585,E,No,8.49,0.13,11.39,0.14
NGC 3607,E,No,8.16,0.18,11.46,0.17
NGC 3608,E,No,8.30,0.17,10.98,0.14
NGC 3627,S,No,6.94,0.09,10.76,0.20
NGC 3665,ES/S0,No,8.76,0.10,11.39,0.14
NGC 3842,E,No,9.94,0.13,11.93,0.13
NGC 3923,E,No,9.47,0.13,11.55,0.17
NGC 3998,ES/S0,No,8.33,0.43,10.61,0.15
NGC 4026,ES/S0,No,8.26,0.12,10.44,0.17
NGC 4151,S,No,7.69,0.37,10.62,0.17
NGC 4258,S,No,7.60,0.01,10.70,0.13
NGC 4261,E,No,9.20,0.09,11.54,0.15
NGC 4291,E,No,8.51,0.37,10.80,0.18
NGC 4303,S,No,6.78,0.17,10.66,0.13
NGC 4339,ES/S0,No,7.62,0.33,10.22,0.14
NGC 4342,ES/S0,Yes,8.65,0.18,10.36,0.15
NGC 4350,ES/S0,No,8.87,0.41,10.66,0.13
NGC 4371,ES/S0,No,6.84,0.12,10.70,0.22
NGC 4374,E,No,8.95,0.05,11.61,0.15
NGC 4388,S,No,6.90,0.10,10.45,0.21
NGC 4395,S,No,5.62,0.17,9.15,0.13
NGC 4429,ES/S0,No,8.18,0.08,11.04,0.13
NGC 4434,ES/S0,No,7.85,0.17,10.22,0.13
NGC 4459,ES/S0,No,7.82,0.10,10.77,0.15
NGC 4472,E,No,9.36,0.04,11.75,0.13
NGC 4473,E,No,8.07,0.36,10.83,0.13
NGC 4486,E,No,9.81,0.06,11.67,0.15
NGC 4501,S,No,7.31,0.08,11.02,0.13
NGC 4526,ES/S0,No,8.65,0.04,11.13,0.15
NGC 4552,E,No,8.67,0.05,11.07,0.16
NGC 4564,ES/S0,No,7.77,0.06,10.35,0.14
NGC 4578,ES/S0,No,7.28,0.35,10.24,0.13
NGC 4594,S,No,8.81,0.03,11.26,0.13
NGC 4596,ES/S0,No,7.90,0.20,10.86,0.13
NGC 4621,E,No,8.59,0.06,11.28,0.15
NGC 4649,E,No,9.66,0.10,11.56,0.14
NGC 4697,E,No,8.26,0.04,11.12,0.14
NGC 4699,S,No,8.27,0.09,11.27,0.20
NGC 4736,S,No,6.83,0.11,10.51,0.14
NGC 4742,ES/S0,No,7.13,0.18,10.07,0.14
NGC 4762,ES/S0,No,7.24,0.14,10.83,0.13
NGC 4826,S,No,6.18,0.12,10.74,0.15
NGC 4889,E,No,10.30,0.44,12.26,0.14
NGC 4945,S,No,6.13,0.30,10.42,0.13
NGC 5018,ES/S0,Yes,8.00,0.08,11.31,0.14
NGC 5055,S,Yes,8.94,0.10,10.81,0.13
NGC 5077,E,No,8.85,0.23,11.41,0.20
NGC 5128,ES/S0,Yes,7.65,0.12,11.14,0.12
NGC 5252,ES/S0,No,9.03,0.40,11.50,0.15
NGC 5419,E,No,9.87,0.14,11.87,0.14
NGC 5576,E,No,8.19,0.10,10.90,0.16
NGC 5813,ES/S0,No,8.83,0.06,11.34,0.14
NGC 5845,ES/S0,No,8.41,0.22,10.46,0.15
NGC 5846,E,No,9.04,0.06,11.55,0.15
NGC 6251,E,No,8.77,0.16,11.87,0.15
NGC 6861,ES/S0,No,9.30,0.08,11.15,0.18
NGC 6926,S,No,7.68,0.50,11.13,0.14
NGC 7052,E,No,9.35,0.05,11.46,0.13
NGC 7332,ES/S0,No,7.06,0.20,10.79,0.15
NGC 7457,ES/S0,No,6.96,0.30,10.12,0.15
NGC 7582,S,No,7.72,0.12,10.90,0.20
NGC 7619,E,No,9.36,0.09,11.71,0.13
NGC 7768,E,No,9.09,0.15,11.90,0.16
UGC 3789,S,No,7.07,0.05,10.68,0.15
