z_low,z_high,log_M,log_Phi,log_Phi_err_up,log_Phi_err_dn,sigma_cv,N
0.20,0.30,8.8,-2.009,0.054,0.048,0.20,172
0.20,0.30,8.9,-2.039,0.056,0.050,0.20,157
0.20,0.30,9.0,-2.160,0.045,0.041,0.10,146
0.20,0.30,9.1,-2.185,0.050,0.045,0.20,140
0.20,0.30,9.2,-2.078,0.066,0.057,0.10,160
0.20,0.30,9.3,-2.085,0.061,0.054,0.099,170
0.20,0.30,9.4,-2.142,0.038,0.035,0.089,190
0.20,0.30,9.5,-2.155,0.036,0.033,0.042,202
0.20,0.30,9.6,-2.124,0.036,0.033,0.045,227
0.20,0.30,9.7,-2.200,0.037,0.034,0.044,206
0.20,0.30,9.8,-2.212,0.034,0.031,0.040,207
0.20,0.30,9.9,-2.242,0.034,0.032,0.035,197
0.20,0.30,10.0,-2.215,0.038,0.035,0.052,199
0.20,0.30,10.1,-2.320,0.037,0.034,0.033,169
0.20,0.30,10.2,-2.285,0.035,0.033,0.073,184
0.20,0.30,10.3,-2.330,0.038,0.035,0.039,166
0.20,0.30,10.4,-2.350,0.038,0.035,0.039,158
0.20,0.30,10.5,-2.380,0.039,0.036,0.062,154
0.20,0.30,10.6,-2.396,0.041,0.037,0.067,145
0.20,0.30,10.7,-2.422,0.043,0.039,0.040,132
0.20,0.30,10.8,-2.542,0.052,0.047,0.033,94
0.20,0.30,10.9,-2.642,0.063,0.055,0.074,69
0.20,0.30,11.0,-2.784,0.089,0.075,0.10,39
0.20,0.30,11.1,-2.83,0.10,0.084,0.30,30
0.20,0.30,11.2,-3.17,0.40,0.20,0.073,8
0.20,0.30,11.3,-3.54,0.30,0.20,0.030,6
0.30,0.40,9.2,-2.132,0.043,0.040,0.088,240
0.30,0.40,9.3,-2.210,0.042,0.038,0.080,218
0.30,0.40,9.4,-2.190,0.079,0.068,0.20,200
0.30,0.40,9.5,-2.183,0.055,0.049,0.20,238
0.30,0.40,9.6,-2.282,0.032,0.030,0.10,237
0.30,0.40,9.7,-2.258,0.030,0.028,0.094,263
0.30,0.40,9.8,-2.235,0.038,0.035,0.078,288
0.30,0.40,9.9,-2.241,0.029,0.027,0.080,290
0.30,0.40,10.0,-2.208,0.031,0.029,0.031,327
0.30,0.40,10.1,-2.288,0.033,0.030,0.071,288
0.30,0.40,10.2,-2.241,0.026,0.024,0.041,338
0.30,0.40,10.3,-2.233,0.027,0.025,0.017,341
0.30,0.40,10.4,-2.290,0.027,0.025,0.043,316
0.30,0.40,10.5,-2.283,0.027,0.025,0.050,309
0.30,0.40,10.6,-2.332,0.028,0.027,0.082,278
0.30,0.40,10.7,-2.407,0.031,0.029,0.060,238
0.30,0.40,10.8,-2.472,0.034,0.032,0.070,199
0.30,0.40,10.9,-2.579,0.042,0.039,0.083,150
0.30,0.40,11.0,-2.709,0.046,0.042,0.048,117
0.30,0.40,11.1,-2.819,0.052,0.047,0.037,90
0.30,0.40,11.2,-3.109,0.076,0.065,0.059,46
0.30,0.40,11.3,-3.34,0.10,0.086,0.090,27
0.30,0.40,11.4,-3.58,0.20,0.10,0.079,12
0.30,0.40,11.5,-4.34,0.40,0.20,0.044,3
0.40,0.50,9.6,-2.292,0.072,0.063,0.20,243
0.40,0.50,9.7,-2.347,0.031,0.029,0.20,268
0.40,0.50,9.8,-2.289,0.030,0.028,0.10,311
0.40,0.50,9.9,-2.308,0.040,0.036,0.097,308
0.40,0.50,10.0,-2.325,0.028,0.027,0.060,328
0.40,0.50,10.1,-2.253,0.087,0.073,0.023,342
0.40,0.50,10.2,-2.342,0.030,0.028,0.093,322
0.40,0.50,10.3,-2.372,0.027,0.025,0.055,326
0.40,0.50,10.4,-2.327,0.036,0.033,0.026,357
0.40,0.50,10.5,-2.332,0.030,0.028,0.072,369
0.40,0.50,10.6,-2.384,0.028,0.026,0.065,336
0.40,0.50,10.7,-2.360,0.033,0.031,0.049,331
0.40,0.50,10.8,-2.493,0.029,0.028,0.086,265
0.40,0.50,10.9,-2.644,0.039,0.036,0.041,187
0.40,0.50,11.0,-2.734,0.039,0.036,0.058,159
0.40,0.50,11.1,-2.978,0.052,0.047,0.084,93
0.40,0.50,11.2,-3.114,0.066,0.057,0.10,64
0.40,0.50,11.3,-3.46,0.10,0.083,0.10,30
0.40,0.50,11.4,-3.67,0.10,0.10,0.20,17
0.40,0.50,11.5,-4.12,0.30,0.20,0.047,6
0.40,0.50,11.6,-4.35,0.40,0.20,0.091,4
0.40,0.50,11.7,-5.09,1.00,0.40,0.50,1
0.40,0.50,11.8,-5.05,1.00,0.40,0.50,1
0.50,0.65,10.0,-2.419,0.036,0.033,0.074,459
0.50,0.65,10.1,-2.394,0.027,0.026,0.058,499
0.50,0.65,10.2,-2.371,0.022,0.021,0.048,550
0.50,0.65,10.3,-2.388,0.027,0.025,0.036,550
0.50,0.65,10.4,-2.382,0.021,0.020,0.050,588
0.50,0.65,10.5,-2.346,0.020,0.019,0.035,667
0.50,0.65,10.6,-2.408,0.020,0.019,0.031,614
0.50,0.65,10.7,-2.431,0.020,0.019,0.039,609
0.50,0.65,10.8,-2.502,0.021,0.020,0.038,525
0.50,0.65,10.9,-2.602,0.025,0.023,0.031,428
0.50,0.65,11.0,-2.729,0.027,0.025,0.023,329
0.50,0.65,11.1,-2.921,0.033,0.031,0.058,212
0.50,0.65,11.2,-3.118,0.042,0.039,0.065,139
0.50,0.65,11.3,-3.311,0.059,0.052,0.076,82
0.50,0.65,11.4,-3.649,0.083,0.071,0.083,42
0.50,0.65,11.5,-3.80,0.10,0.10,0.094,23
0.50,0.65,11.6,-4.52,0.20,0.20,0.10,7
0.50,0.65,11.7,-4.21,0.20,0.20,0.10,8
0.65,0.80,10.4,-2.387,0.022,0.021,0.047,593
0.65,0.80,10.5,-2.320,0.027,0.025,0.037,672
0.65,0.80,10.6,-2.353,0.033,0.031,0.055,673
0.65,0.80,10.7,-2.387,0.029,0.027,0.053,673
0.65,0.80,10.8,-2.443,0.020,0.019,0.045,667
0.65,0.80,10.9,-2.487,0.023,0.022,0.054,626
0.65,0.80,11.0,-2.599,0.033,0.031,0.052,473
0.65,0.80,11.1,-2.772,0.028,0.026,0.040,352
0.65,0.80,11.2,-2.919,0.042,0.039,0.091,235
0.65,0.80,11.3,-3.233,0.045,0.041,0.065,133
0.65,0.80,11.4,-3.470,0.056,0.050,0.10,81
0.65,0.80,11.5,-3.93,0.10,0.097,0.20,22
0.65,0.80,11.6,-4.22,0.20,0.10,0.088,11
0.65,0.80,11.7,-4.60,0.30,0.20,0.20,5
0.65,0.80,11.8,-4.94,1.00,0.40,0.40,1
0.65,0.80,11.9,-4.48,1.00,0.40,0.10,1
0.65,0.80,12.0,-5.48,1.00,0.40,1.4,1
0.80,1.00,10.8,-2.583,0.028,0.026,0.084,521
0.80,1.00,10.9,-2.658,0.023,0.022,0.052,517
0.80,1.00,11.0,-2.701,0.028,0.026,0.061,499
0.80,1.00,11.1,-2.842,0.028,0.026,0.059,398
0.80,1.00,11.2,-3.039,0.035,0.032,0.036,274
0.80,1.00,11.3,-3.296,0.039,0.036,0.077,169
0.80,1.00,11.4,-3.453,0.079,0.068,0.063,100
0.80,1.00,11.5,-3.77,0.10,0.090,0.084,50
0.80,1.00,11.6,-4.32,0.10,0.10,0.087,19
0.80,1.00,11.7,-4.44,0.20,0.20,0.10,11
0.80,1.00,11.8,-5.07,0.40,0.20,0.088,3
0.80,1.00,12.0,-5.71,1.00,0.40,0.40,1
